code,name,subname,text,traits,flavor,back_text,back_flavor
07152,Keen Eye,,"[free] Spend 2 resources: You get +1 [intellect] until the end of the phase.
[free] Spend 2 resources: You get +1 [combat] until the end of the phase.",Talent.,,,
07153,Radiant Smite,,"<b>Fight.</b> You may use [willpower] instead of [combat] for this attack. When you initiate this attack, search the chaos bag for up to 3 [bless] tokens, and seal them here. For each [bless] token sealed on Radiant Smite, you get +1 skill value and deal +1 damage for this attack. If this attack defeats the attacked enemy, return the sealed tokens to the token pool. Otherwise, release them.",Spell. Spirit. Blessed.,,,
07154,The Truth Beckons,,"Play only if you are not engaged with an enemy.
<b>Move.</b> Choose an unrevealed location. Move (one location at a time) along the shortest path toward that location, until you enter that location. End this effect if you reveal a location, if an enemy engages you, or if your movement is blocked.",Insight.,,,
07155,Gaze of Ouraxsh,,"Reveal 7 random chaos tokens from the chaos bag. Deal a total of 1 damage plus 1 additional damage for each [curse] or [auto_fail] token revealed, divided as you choose among enemies at your location. This action does not provoke attacks of opportunity.",Spell. Cursed.,,,
07156,Priest of Two Faiths,,"[reaction] After Priest of Two Faiths enters play: Add 3 [bless] tokens to the chaos bag.
<b>Forced</b> - At the end of the upkeep phase: You must either add 1 [curse] token to the chaos bag or discard Priest of Two Faiths.",Ally. Blessed. Cursed.,,,
07157,Under Surveillance,,"Attach to your location. Limit 1 per location.
<b>Forced</b> - After a non-[[Elite]] enemy enters attached location, discard Under Surveillance: Automatically evade that enemy and discover 1 clue at attached location. That enemy does not ready during the next upkeep phase.",Tactic. Trap.,,,
07158,Blood Pact,,"[free] Add 1 doom to Blood Pact: You get +2 [willpower] for this skill test. (Limit once per test.)
[free] Add 1 doom to Blood Pact: You get +2 [combat] for this skill test. (Limit once per test.)",Spell. Pact.,,,
07159,Abyssal Tome,,"[action] Exhaust Abyssal Tome: <b>Fight.</b> You may use either [intellect] or [willpower] for this attack, instead of [combat]. When you initiate this attack, you may place 1 doom on Abyssal Tome (to a maximum of 3). You get +1 skill value and deal +1 damage for this attack for each doom on Abyssal Tome.",Item. Tome.,,,
07160,Butterfly Effect,,"Fast. Play when a chaos token with a symbol is revealed during a skill test at your location <i>(before resolving its effects)</i>.
You or the performing investigator may either commit a card to this skill test, or return a card they committed to this test to their hand.",Paradox. Blessed. Cursed.,,,
07161,Third Time's a Charm,,"Fast. Play when a skill test at your location begins.
Twice during this test, when an investigator reveals a chaos token, they may cancel it, return it to the chaos bag, and reveal a new chaos token.",Spirit.,,,
07162,Manipulate Destiny,,"Reveal tokens from the chaos bag until you reveal a [curse], [auto_fail], [bless], or [elder_sign] token. If you revealed...
- ...a [curse] or [auto_fail] token, deal 2 damage to an enemy at your location.
- ...a [bless] or [elder_sign] token, heal 2 damage from an investigator or [[Ally]] asset at your location.
This action does not provoke attacks of opportunity.",Spell.,,,
07189,Enchanted Armor,,"Play Enchanted Armor under the control of any investigator at your location.
<b>Forced</b> - After damage and/or horror is placed on Enchanted Armor: The owner of Enchanted Armor tests [willpower] (X), where X is the total amount of damage and horror on it. If the test fails, discard Enchanted Armor and assign the damage and/or horror just placed on it elsewhere.",Ritual. Armor.,,,
07190,Blessing of Isis,,"[reaction] When a second [bless] token is revealed during a single skill test at your location, exhaust Blessing of Isis: Cancel that token and treat it as if it were a [elder_sign] token instead. Return both of those tokens to the chaos bag after this test ends.",Ritual. Blessed.,,,
07191,Cryptic Grimoire,Text of the Elder Herald,"Researched.
[reaction]: After you resolve 1 or more [curse] tokens during a skill test: Place that many secrets on Cryptic Grimoire.
[reaction] When you play an [[Insight]] event during your turn, spend 2 secrets: That event gains fast. Reduce its cost by 1.",Item. Tome. Cursed.,,,
07192,Cryptic Grimoire,Text of the Elder Guardian,"Researched.
[reaction]: After you resolve 1 or more [curse] tokens during a skill test: Place that many secrets on Cryptic Grimoire.
[reaction] When you would draw the top card of the encounter deck, spend 5 secrets: Draw a card from your deck instead.",Item. Tome. Blessed.,,,
07193,Ríastrad,,"<b>Fight.</b> When you initiate this attack, add up to 3 [curse] tokens to the chaos bag. For each [curse] token added to the chaos bag in this way, you get +1 [combat] and deal +1 damage for this attack.",Spell. Spirit. Cursed.,,,
07194,Tristan Botley,Fixer for Hire,"[reaction] After your turn begins: Choose two skills. Until the start of your next turn, you get +1 to each of those skills.
[reaction] After any skill test ends in which a total of 3 or more [curse] or [bless] tokens were revealed: Play Tristan Botley from your hand, at no cost.",Ally. Criminal. Cursed.,"""Nothin's ever gonna be the same, Vito.""",,
